# PROVENANCE: synthetic
# SOURCE-SPEC: Revolut Account Statement (per currency) help docs
# COVERS: EUR wallet, May 2026; TOPUP/CARD_PAYMENT/EXCHANGE/TRANSFER/REFUND/ATM/REWARD/INTEREST + fee split + pending/failed/reverted warnings
# NORMALIZED-BY: docs/strategy/parsers/REVOLUT_CSV.md
Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
TOPUP,Current,2026-05-01 09:00:00,2026-05-01 09:00:05,Apple Pay top-up,500.00,0.00,EUR,COMPLETED,500.00
CARD_PAYMENT,Current,2026-05-03 12:15:00,2026-05-03 12:15:02,Lidl Berlin,-42.50,0.00,EUR,COMPLETED,457.50
EXCHANGE,Current,2026-05-04 08:00:00,2026-05-04 08:00:01,Exchanged to CHF,-100.00,0.00,EUR,COMPLETED,357.50
TRANSFER,Current,2026-05-06 10:00:00,2026-05-06 11:00:00,Sent to John Doe,-50.00,0.50,EUR,COMPLETED,307.00
CARD_PAYMENT,Current,2026-05-08 19:30:00,2026-05-09 03:00:00,Netflix.com,-15.99,0.00,EUR,COMPLETED,291.01
REFUND,Current,2026-05-10 14:00:00,2026-05-10 14:30:00,Lidl Berlin,42.50,0.00,EUR,COMPLETED,333.51
ATM,Current,2026-05-12 22:10:00,2026-05-12 22:10:05,ATM Berlin Hbf,-100.00,2.00,EUR,COMPLETED,231.51
CARD_PAYMENT,Current,2026-05-15 09:45:00,2026-05-15 09:45:01,Coffee shop,-3.50,0.00,EUR,PENDING,
CARD_PAYMENT,Current,2026-05-17 11:00:00,2026-05-17 11:00:01,Failed merchant,-25.00,0.00,EUR,DECLINED,
CARD_PAYMENT,Current,2026-05-18 11:00:00,2026-05-18 11:00:01,Refunded merchant,-10.00,0.00,EUR,REVERTED,
REWARD,Current,2026-05-25 00:00:00,2026-05-25 00:00:00,Stays referral cashback,5.00,0.00,EUR,COMPLETED,236.51
INTEREST,Savings,2026-05-31 23:59:00,2026-05-31 23:59:00,Savings interest,1.20,0.00,EUR,COMPLETED,237.71
